year,round,college_code,college_name,branch,category,closing_rank,source_file,round_sort_order
2021,Final,E002,BMS College of Engineering,Civil,3A,7861,SAMPLE_DATA_NOT_REAL,99
2022,1,E002,BMS College of Engineering,Civil,3A,5940,SAMPLE_DATA_NOT_REAL,0
2022,2,E002,BMS College of Engineering,Civil,3A,6695,SAMPLE_DATA_NOT_REAL,1
2022,Final,E002,BMS College of Engineering,Civil,3A,7752,SAMPLE_DATA_NOT_REAL,99
2023,1,E002,BMS College of Engineering,Civil,3A,5943,SAMPLE_DATA_NOT_REAL,0
2023,2,E002,BMS College of Engineering,Civil,3A,6754,SAMPLE_DATA_NOT_REAL,1
2023,Final,E002,BMS College of Engineering,Civil,3A,7826,SAMPLE_DATA_NOT_REAL,99
2024,1,E002,BMS College of Engineering,Civil,3A,5909,SAMPLE_DATA_NOT_REAL,0
2024,2,E002,BMS College of Engineering,Civil,3A,6421,SAMPLE_DATA_NOT_REAL,1
2024,Final,E002,BMS College of Engineering,Civil,3A,7580,SAMPLE_DATA_NOT_REAL,99
2025,1,E002,BMS College of Engineering,Civil,3A,5465,SAMPLE_DATA_NOT_REAL,0
2025,2,E002,BMS College of Engineering,Civil,3A,6531,SAMPLE_DATA_NOT_REAL,1
2025,Final,E002,BMS College of Engineering,Civil,3A,6987,SAMPLE_DATA_NOT_REAL,99
2021,1,E002,BMS College of Engineering,Civil,3B,6566,SAMPLE_DATA_NOT_REAL,0
2021,2,E002,BMS College of Engineering,Civil,3B,7361,SAMPLE_DATA_NOT_REAL,1
2021,Final,E002,BMS College of Engineering,Civil,3B,9392,SAMPLE_DATA_NOT_REAL,99
2022,1,E002,BMS College of Engineering,Civil,3B,6603,SAMPLE_DATA_NOT_REAL,0
2022,2,E002,BMS College of Engineering,Civil,3B,7536,SAMPLE_DATA_NOT_REAL,1
2022,Final,E002,BMS College of Engineering,Civil,3B,8626,SAMPLE_DATA_NOT_REAL,99
2023,1,E002,BMS College of Engineering,Civil,3B,5920,SAMPLE_DATA_NOT_REAL,0
2023,2,E002,BMS College of Engineering,Civil,3B,7142,SAMPLE_DATA_NOT_REAL,1
2023,Final,E002,BMS College of Engineering,Civil,3B,7916,SAMPLE_DATA_NOT_REAL,99
2024,1,E002,BMS College of Engineering,Civil,3B,6079,SAMPLE_DATA_NOT_REAL,0
2024,2,E002,BMS College of Engineering,Civil,3B,6739,SAMPLE_DATA_NOT_REAL,1
2024,Final,E002,BMS College of Engineering,Civil,3B,8034,SAMPLE_DATA_NOT_REAL,99
2025,1,E002,BMS College of Engineering,Civil,3B,5922,SAMPLE_DATA_NOT_REAL,0
2025,2,E002,BMS College of Engineering,Civil,3B,6038,SAMPLE_DATA_NOT_REAL,1
2025,Final,E002,BMS College of Engineering,Civil,3B,7069,SAMPLE_DATA_NOT_REAL,99
2021,1,E002,BMS College of Engineering,Civil,CAT1,5198,SAMPLE_DATA_NOT_REAL,0
2021,2,E002,BMS College of Engineering,Civil,CAT1,5589,SAMPLE_DATA_NOT_REAL,1
2021,Final,E002,BMS College of Engineering,Civil,CAT1,6738,SAMPLE_DATA_NOT_REAL,99
2022,1,E002,BMS College of Engineering,Civil,CAT1,4860,SAMPLE_DATA_NOT_REAL,0
2022,2,E002,BMS College of Engineering,Civil,CAT1,5001,SAMPLE_DATA_NOT_REAL,1
2022,Final,E002,BMS College of Engineering,Civil,CAT1,6730,SAMPLE_DATA_NOT_REAL,99
2023,1,E002,BMS College of Engineering,Civil,CAT1,4190,SAMPLE_DATA_NOT_REAL,0
2023,2,E002,BMS College of Engineering,Civil,CAT1,5348,SAMPLE_DATA_NOT_REAL,1
2023,Final,E002,BMS College of Engineering,Civil,CAT1,6329,SAMPLE_DATA_NOT_REAL,99
2024,1,E002,BMS College of Engineering,Civil,CAT1,4564,SAMPLE_DATA_NOT_REAL,0
2024,2,E002,BMS College of Engineering,Civil,CAT1,5142,SAMPLE_DATA_NOT_REAL,1
2024,Final,E002,BMS College of Engineering,Civil,CAT1,5416,SAMPLE_DATA_NOT_REAL,99
2025,1,E002,BMS College of Engineering,Civil,CAT1,4363,SAMPLE_DATA_NOT_REAL,0
2025,2,E002,BMS College of Engineering,Civil,CAT1,4993,SAMPLE_DATA_NOT_REAL,1
2025,Final,E002,BMS College of Engineering,Civil,CAT1,5453,SAMPLE_DATA_NOT_REAL,99
2021,1,E002,BMS College of Engineering,Civil,GM,3486,SAMPLE_DATA_NOT_REAL,0
2021,2,E002,BMS College of Engineering,Civil,GM,4602,SAMPLE_DATA_NOT_REAL,1
2021,Final,E002,BMS College of Engineering,Civil,GM,4787,SAMPLE_DATA_NOT_REAL,99
2022,1,E002,BMS College of Engineering,Civil,GM,3588,SAMPLE_DATA_NOT_REAL,0
2022,2,E002,BMS College of Engineering,Civil,GM,4053,SAMPLE_DATA_NOT_REAL,1
2022,Final,E002,BMS College of Engineering,Civil,GM,4589,SAMPLE_DATA_NOT_REAL,99
2023,1,E002,BMS College of Engineering,Civil,GM,3329,SAMPLE_DATA_NOT_REAL,0
2023,2,E002,BMS College of Engineering,Civil,GM,3992,SAMPLE_DATA_NOT_REAL,1
2023,Final,E002,BMS College of Engineering,Civil,GM,4960,SAMPLE_DATA_NOT_REAL,99
2024,1,E002,BMS College of Engineering,Civil,GM,3052,SAMPLE_DATA_NOT_REAL,0
2024,2,E002,BMS College of Engineering,Civil,GM,4028,SAMPLE_DATA_NOT_REAL,1
2024,Final,E002,BMS College of Engineering,Civil,GM,4219,SAMPLE_DATA_NOT_REAL,99
2025,1,E002,BMS College of Engineering,Civil,GM,3283,SAMPLE_DATA_NOT_REAL,0
2025,2,E002,BMS College of Engineering,Civil,GM,3810,SAMPLE_DATA_NOT_REAL,1
2025,Final,E002,BMS College of Engineering,Civil,GM,4563,SAMPLE_DATA_NOT_REAL,99
2021,1,E002,BMS College of Engineering,Civil,SC,12039,SAMPLE_DATA_NOT_REAL,0
2021,2,E002,BMS College of Engineering,Civil,SC,12169,SAMPLE_DATA_NOT_REAL,1
2021,Final,E002,BMS College of Engineering,Civil,SC,14277,SAMPLE_DATA_NOT_REAL,99
2022,1,E002,BMS College of Engineering,Civil,SC,11530,SAMPLE_DATA_NOT_REAL,0
2022,2,E002,BMS College of Engineering,Civil,SC,12499,SAMPLE_DATA_NOT_REAL,1
2022,Final,E002,BMS College of Engineering,Civil,SC,14239,SAMPLE_DATA_NOT_REAL,99
2023,1,E002,BMS College of Engineering,Civil,SC,10598,SAMPLE_DATA_NOT_REAL,0
2023,2,E002,BMS College of Engineering,Civil,SC,12765,SAMPLE_DATA_NOT_REAL,1
2023,Final,E002,BMS College of Engineering,Civil,SC,14636,SAMPLE_DATA_NOT_REAL,99
2024,1,E002,BMS College of Engineering,Civil,SC,10402,SAMPLE_DATA_NOT_REAL,0
2024,2,E002,BMS College of Engineering,Civil,SC,11973,SAMPLE_DATA_NOT_REAL,1
2024,Final,E002,BMS College of Engineering,Civil,SC,13431,SAMPLE_DATA_NOT_REAL,99
2025,1,E002,BMS College of Engineering,Civil,SC,9116,SAMPLE_DATA_NOT_REAL,0
2025,2,E002,BMS College of Engineering,Civil,SC,10785,SAMPLE_DATA_NOT_REAL,1
2025,Final,E002,BMS College of Engineering,Civil,SC,12058,SAMPLE_DATA_NOT_REAL,99
2021,1,E002,BMS College of Engineering,Civil,ST,14941,SAMPLE_DATA_NOT_REAL,0
2021,2,E002,BMS College of Engineering,Civil,ST,15773,SAMPLE_DATA_NOT_REAL,1
2021,Final,E002,BMS College of Engineering,Civil,ST,19692,SAMPLE_DATA_NOT_REAL,99
2022,1,E002,BMS College of Engineering,Civil,ST,14468,SAMPLE_DATA_NOT_REAL,0
2022,2,E002,BMS College of Engineering,Civil,ST,15619,SAMPLE_DATA_NOT_REAL,1
2022,Final,E002,BMS College of Engineering,Civil,ST,19385,SAMPLE_DATA_NOT_REAL,99
2023,1,E002,BMS College of Engineering,Civil,ST,13365,SAMPLE_DATA_NOT_REAL,0
2023,2,E002,BMS College of Engineering,Civil,ST,15692,SAMPLE_DATA_NOT_REAL,1
2023,Final,E002,BMS College of Engineering,Civil,ST,19442,SAMPLE_DATA_NOT_REAL,99
2024,1,E002,BMS College of Engineering,Civil,ST,12733,SAMPLE_DATA_NOT_REAL,0
2024,2,E002,BMS College of Engineering,Civil,ST,15812,SAMPLE_DATA_NOT_REAL,1
2024,Final,E002,BMS College of Engineering,Civil,ST,18491,SAMPLE_DATA_NOT_REAL,99
2025,1,E002,BMS College of Engineering,Civil,ST,12254,SAMPLE_DATA_NOT_REAL,0
2025,2,E002,BMS College of Engineering,Civil,ST,14329,SAMPLE_DATA_NOT_REAL,1
2025,Final,E002,BMS College of Engineering,Civil,ST,15863,SAMPLE_DATA_NOT_REAL,99
2021,1,E002,BMS College of Engineering,Computer Science,1G,1007,SAMPLE_DATA_NOT_REAL,0
2021,2,E002,BMS College of Engineering,Computer Science,1G,1208,SAMPLE_DATA_NOT_REAL,1
2021,Final,E002,BMS College of Engineering,Computer Science,1G,1351,SAMPLE_DATA_NOT_REAL,99
2022,1,E002,BMS College of Engineering,Computer Science,1G,926,SAMPLE_DATA_NOT_REAL,0
2022,2,E002,BMS College of Engineering,Computer Science,1G,1022,SAMPLE_DATA_NOT_REAL,1
2022,Final,E002,BMS College of Engineering,Computer Science,1G,1168,SAMPLE_DATA_NOT_REAL,99
2023,1,E002,BMS College of Engineering,Computer Science,1G,946,SAMPLE_DATA_NOT_REAL,0
2023,2,E002,BMS College of Engineering,Computer Science,1G,998,SAMPLE_DATA_NOT_REAL,1
2023,Final,E002,BMS College of Engineering,Computer Science,1G,1257,SAMPLE_DATA_NOT_REAL,99
2024,1,E002,BMS College of Engineering,Computer Science,1G,833,SAMPLE_DATA_NOT_REAL,0
2024,2,E002,BMS College of Engineering,Computer Science,1G,1039,SAMPLE_DATA_NOT_REAL,1
2024,Final,E002,BMS College of Engineering,Computer Science,1G,1113,SAMPLE_DATA_NOT_REAL,99
2025,1,E002,BMS College of Engineering,Computer Science,1G,833,SAMPLE_DATA_NOT_REAL,0
2025,2,E002,BMS College of Engineering,Computer Science,1G,972,SAMPLE_DATA_NOT_REAL,1
2025,Final,E002,BMS College of Engineering,Computer Science,1G,1020,SAMPLE_DATA_NOT_REAL,99
2021,1,E002,BMS College of Engineering,Computer Science,2A,1194,SAMPLE_DATA_NOT_REAL,0
2021,2,E002,BMS College of Engineering,Computer Science,2A,1496,SAMPLE_DATA_NOT_REAL,1
2021,Final,E002,BMS College of Engineering,Computer Science,2A,1674,SAMPLE_DATA_NOT_REAL,99
2022,1,E002,BMS College of Engineering,Computer Science,2A,1210,SAMPLE_DATA_NOT_REAL,0
2022,2,E002,BMS College of Engineering,Computer Science,2A,1423,SAMPLE_DATA_NOT_REAL,1
2022,Final,E002,BMS College of Engineering,Computer Science,2A,1657,SAMPLE_DATA_NOT_REAL,99
2023,1,E002,BMS College of Engineering,Computer Science,2A,1116,SAMPLE_DATA_NOT_REAL,0
2023,2,E002,BMS College of Engineering,Computer Science,2A,1297,SAMPLE_DATA_NOT_REAL,1
2023,Final,E002,BMS College of Engineering,Computer Science,2A,1636,SAMPLE_DATA_NOT_REAL,99
2024,1,E002,BMS College of Engineering,Computer Science,2A,1127,SAMPLE_DATA_NOT_REAL,0
2024,2,E002,BMS College of Engineering,Computer Science,2A,1296,SAMPLE_DATA_NOT_REAL,1
2024,Final,E002,BMS College of Engineering,Computer Science,2A,1547,SAMPLE_DATA_NOT_REAL,99
2025,1,E002,BMS College of Engineering,Computer Science,2A,1065,SAMPLE_DATA_NOT_REAL,0
2025,2,E002,BMS College of Engineering,Computer Science,2A,1211,SAMPLE_DATA_NOT_REAL,1
2025,Final,E002,BMS College of Engineering,Computer Science,2A,1401,SAMPLE_DATA_NOT_REAL,99
2021,1,E002,BMS College of Engineering,Computer Science,2B,1493,SAMPLE_DATA_NOT_REAL,0
2021,2,E002,BMS College of Engineering,Computer Science,2B,1597,SAMPLE_DATA_NOT_REAL,1
2021,Final,E002,BMS College of Engineering,Computer Science,2B,1833,SAMPLE_DATA_NOT_REAL,99
2022,1,E002,BMS College of Engineering,Computer Science,2B,1301,SAMPLE_DATA_NOT_REAL,0
2022,2,E002,BMS College of Engineering,Computer Science,2B,1607,SAMPLE_DATA_NOT_REAL,1
2022,Final,E002,BMS College of Engineering,Computer Science,2B,1950,SAMPLE_DATA_NOT_REAL,99
2023,1,E002,BMS College of Engineering,Computer Science,2B,1258,SAMPLE_DATA_NOT_REAL,0
2023,2,E002,BMS College of Engineering,Computer Science,2B,1522,SAMPLE_DATA_NOT_REAL,1
2023,Final,E002,BMS College of Engineering,Computer Science,2B,1841,SAMPLE_DATA_NOT_REAL,99
2024,1,E002,BMS College of Engineering,Computer Science,2B,1316,SAMPLE_DATA_NOT_REAL,0
2024,2,E002,BMS College of Engineering,Computer Science,2B,1380,SAMPLE_DATA_NOT_REAL,1
2024,Final,E002,BMS College of Engineering,Computer Science,2B,1570,SAMPLE_DATA_NOT_REAL,99
2025,1,E002,BMS College of Engineering,Computer Science,2B,1127,SAMPLE_DATA_NOT_REAL,0
2025,2,E002,BMS College of Engineering,Computer Science,2B,1329,SAMPLE_DATA_NOT_REAL,1
2025,Final,E002,BMS College of Engineering,Computer Science,2B,1571,SAMPLE_DATA_NOT_REAL,99
2021,1,E002,BMS College of Engineering,Computer Science,3A,1448,SAMPLE_DATA_NOT_REAL,0
2021,2,E002,BMS College of Engineering,Computer Science,3A,1622,SAMPLE_DATA_NOT_REAL,1
2021,Final,E002,BMS College of Engineering,Computer Science,3A,2110,SAMPLE_DATA_NOT_REAL,99
2022,1,E002,BMS College of Engineering,Computer Science,3A,1466,SAMPLE_DATA_NOT_REAL,0
2022,2,E002,BMS College of Engineering,Computer Science,3A,1736,SAMPLE_DATA_NOT_REAL,1
2022,Final,E002,BMS College of Engineering,Computer Science,3A,2034,SAMPLE_DATA_NOT_REAL,99
2023,1,E002,BMS College of Engineering,Computer Science,3A,1282,SAMPLE_DATA_NOT_REAL,0
2023,2,E002,BMS College of Engineering,Computer Science,3A,1539,SAMPLE_DATA_NOT_REAL,1
2023,Final,E002,BMS College of Engineering,Computer Science,3A,1919,SAMPLE_DATA_NOT_REAL,99
2024,1,E002,BMS College of Engineering,Computer Science,3A,1326,SAMPLE_DATA_NOT_REAL,0
2024,2,E002,BMS College of Engineering,Computer Science,3A,1427,SAMPLE_DATA_NOT_REAL,1
2024,Final,E002,BMS College of Engineering,Computer Science,3A,1676,SAMPLE_DATA_NOT_REAL,99
2025,1,E002,BMS College of Engineering,Computer Science,3A,1165,SAMPLE_DATA_NOT_REAL,0
2025,2,E002,BMS College of Engineering,Computer Science,3A,1372,SAMPLE_DATA_NOT_REAL,1
2025,Final,E002,BMS College of Engineering,Computer Science,3A,1789,SAMPLE_DATA_NOT_REAL,99
2021,1,E002,BMS College of Engineering,Computer Science,3B,1589,SAMPLE_DATA_NOT_REAL,0
2021,2,E002,BMS College of Engineering,Computer Science,3B,1997,SAMPLE_DATA_NOT_REAL,1
2021,Final,E002,BMS College of Engineering,Computer Science,3B,2023,SAMPLE_DATA_NOT_REAL,99
2022,1,E002,BMS College of Engineering,Computer Science,3B,1434,SAMPLE_DATA_NOT_REAL,0
2022,2,E002,BMS College of Engineering,Computer Science,3B,1718,SAMPLE_DATA_NOT_REAL,1
2022,Final,E002,BMS College of Engineering,Computer Science,3B,1946,SAMPLE_DATA_NOT_REAL,99
2023,1,E002,BMS College of Engineering,Computer Science,3B,1545,SAMPLE_DATA_NOT_REAL,0
2023,2,E002,BMS College of Engineering,Computer Science,3B,1704,SAMPLE_DATA_NOT_REAL,1
2023,Final,E002,BMS College of Engineering,Computer Science,3B,1906,SAMPLE_DATA_NOT_REAL,99
2024,1,E002,BMS College of Engineering,Computer Science,3B,1424,SAMPLE_DATA_NOT_REAL,0
2024,2,E002,BMS College of Engineering,Computer Science,3B,1488,SAMPLE_DATA_NOT_REAL,1
2024,Final,E002,BMS College of Engineering,Computer Science,3B,1807,SAMPLE_DATA_NOT_REAL,99
2025,1,E002,BMS College of Engineering,Computer Science,3B,1226,SAMPLE_DATA_NOT_REAL,0
2025,2,E002,BMS College of Engineering,Computer Science,3B,1492,SAMPLE_DATA_NOT_REAL,1
2025,Final,E002,BMS College of Engineering,Computer Science,3B,1665,SAMPLE_DATA_NOT_REAL,99
2021,1,E002,BMS College of Engineering,Computer Science,CAT1,1181,SAMPLE_DATA_NOT_REAL,0
2021,2,E002,BMS College of Engineering,Computer Science,CAT1,1343,SAMPLE_DATA_NOT_REAL,1
2021,Final,E002,BMS College of Engineering,Computer Science,CAT1,1559,SAMPLE_DATA_NOT_REAL,99
2022,1,E002,BMS College of Engineering,Computer Science,CAT1,1072,SAMPLE_DATA_NOT_REAL,0
2022,2,E002,BMS College of Engineering,Computer Science,CAT1,1239,SAMPLE_DATA_NOT_REAL,1
2022,Final,E002,BMS College of Engineering,Computer Science,CAT1,1499,SAMPLE_DATA_NOT_REAL,99
2023,1,E002,BMS College of Engineering,Computer Science,CAT1,1041,SAMPLE_DATA_NOT_REAL,0
2023,2,E002,BMS College of Engineering,Computer Science,CAT1,1179,SAMPLE_DATA_NOT_REAL,1
2023,Final,E002,BMS College of Engineering,Computer Science,CAT1,1406,SAMPLE_DATA_NOT_REAL,99
2024,1,E002,BMS College of Engineering,Computer Science,CAT1,952,SAMPLE_DATA_NOT_REAL,0
2024,2,E002,BMS College of Engineering,Computer Science,CAT1,1123,SAMPLE_DATA_NOT_REAL,1
2024,Final,E002,BMS College of Engineering,Computer Science,CAT1,1323,SAMPLE_DATA_NOT_REAL,99
2025,1,E002,BMS College of Engineering,Computer Science,CAT1,1015,SAMPLE_DATA_NOT_REAL,0
2025,2,E002,BMS College of Engineering,Computer Science,CAT1,1164,SAMPLE_DATA_NOT_REAL,1
2025,Final,E002,BMS College of Engineering,Computer Science,CAT1,1190,SAMPLE_DATA_NOT_REAL,99
2021,1,E002,BMS College of Engineering,Computer Science,GM,921,SAMPLE_DATA_NOT_REAL,0
2021,2,E002,BMS College of Engineering,Computer Science,GM,1009,SAMPLE_DATA_NOT_REAL,1
2021,Final,E002,BMS College of Engineering,Computer Science,GM,1287,SAMPLE_DATA_NOT_REAL,99
2022,1,E002,BMS College of Engineering,Computer Science,GM,837,SAMPLE_DATA_NOT_REAL,0
2022,2,E002,BMS College of Engineering,Computer Science,GM,917,SAMPLE_DATA_NOT_REAL,1
2022,Final,E002,BMS College of Engineering,Computer Science,GM,1238,SAMPLE_DATA_NOT_REAL,99
2023,1,E002,BMS College of Engineering,Computer Science,GM,812,SAMPLE_DATA_NOT_REAL,0
2023,2,E002,BMS College of Engineering,Computer Science,GM,994,SAMPLE_DATA_NOT_REAL,1
2023,Final,E002,BMS College of Engineering,Computer Science,GM,1051,SAMPLE_DATA_NOT_REAL,99
2024,1,E002,BMS College of Engineering,Computer Science,GM,757,SAMPLE_DATA_NOT_REAL,0
2024,2,E002,BMS College of Engineering,Computer Science,GM,877,SAMPLE_DATA_NOT_REAL,1
2024,Final,E002,BMS College of Engineering,Computer Science,GM,968,SAMPLE_DATA_NOT_REAL,99
2025,1,E002,BMS College of Engineering,Computer Science,GM,758,SAMPLE_DATA_NOT_REAL,0
2025,2,E002,BMS College of Engineering,Computer Science,GM,819,SAMPLE_DATA_NOT_REAL,1
2025,Final,E002,BMS College of Engineering,Computer Science,GM,940,SAMPLE_DATA_NOT_REAL,99
2021,1,E002,BMS College of Engineering,Computer Science,SC,2911,SAMPLE_DATA_NOT_REAL,0
2021,2,E002,BMS College of Engineering,Computer Science,SC,2899,SAMPLE_DATA_NOT_REAL,1
2021,Final,E002,BMS College of Engineering,Computer Science,SC,3789,SAMPLE_DATA_NOT_REAL,99
2022,1,E002,BMS College of Engineering,Computer Science,SC,2567,SAMPLE_DATA_NOT_REAL,0
2022,2,E002,BMS College of Engineering,Computer Science,SC,2764,SAMPLE_DATA_NOT_REAL,1
2022,Final,E002,BMS College of Engineering,Computer Science,SC,3479,SAMPLE_DATA_NOT_REAL,99
2023,1,E002,BMS College of Engineering,Computer Science,SC,2295,SAMPLE_DATA_NOT_REAL,0
2023,2,E002,BMS College of Engineering,Computer Science,SC,2832,SAMPLE_DATA_NOT_REAL,1
2023,Final,E002,BMS College of Engineering,Computer Science,SC,3417,SAMPLE_DATA_NOT_REAL,99
2024,1,E002,BMS College of Engineering,Computer Science,SC,2185,SAMPLE_DATA_NOT_REAL,0
2024,2,E002,BMS College of Engineering,Computer Science,SC,2780,SAMPLE_DATA_NOT_REAL,1
2024,Final,E002,BMS College of Engineering,Computer Science,SC,3085,SAMPLE_DATA_NOT_REAL,99
2025,1,E002,BMS College of Engineering,Computer Science,SC,2140,SAMPLE_DATA_NOT_REAL,0
2025,2,E002,BMS College of Engineering,Computer Science,SC,2546,SAMPLE_DATA_NOT_REAL,1
2025,Final,E002,BMS College of Engineering,Computer Science,SC,2781,SAMPLE_DATA_NOT_REAL,99
2021,1,E002,BMS College of Engineering,Computer Science,ST,3681,SAMPLE_DATA_NOT_REAL,0
2021,2,E002,BMS College of Engineering,Computer Science,ST,4286,SAMPLE_DATA_NOT_REAL,1
2021,Final,E002,BMS College of Engineering,Computer Science,ST,4638,SAMPLE_DATA_NOT_REAL,99
2022,1,E002,BMS College of Engineering,Computer Science,ST,3565,SAMPLE_DATA_NOT_REAL,0
2022,2,E002,BMS College of Engineering,Computer Science,ST,3622,SAMPLE_DATA_NOT_REAL,1
2022,Final,E002,BMS College of Engineering,Computer Science,ST,4424,SAMPLE_DATA_NOT_REAL,99
2023,1,E002,BMS College of Engineering,Computer Science,ST,3093,SAMPLE_DATA_NOT_REAL,0
2023,2,E002,BMS College of Engineering,Computer Science,ST,3655,SAMPLE_DATA_NOT_REAL,1
2023,Final,E002,BMS College of Engineering,Computer Science,ST,4603,SAMPLE_DATA_NOT_REAL,99
2024,1,E002,BMS College of Engineering,Computer Science,ST,3269,SAMPLE_DATA_NOT_REAL,0
2024,2,E002,BMS College of Engineering,Computer Science,ST,3483,SAMPLE_DATA_NOT_REAL,1
2024,Final,E002,BMS College of Engineering,Computer Science,ST,4442,SAMPLE_DATA_NOT_REAL,99
2025,1,E002,BMS College of Engineering,Computer Science,ST,2808,SAMPLE_DATA_NOT_REAL,0
2025,2,E002,BMS College of Engineering,Computer Science,ST,3619,SAMPLE_DATA_NOT_REAL,1
2025,Final,E002,BMS College of Engineering,Computer Science,ST,3992,SAMPLE_DATA_NOT_REAL,99
2021,1,E002,BMS College of Engineering,Electrical & Electronics,1G,5557,SAMPLE_DATA_NOT_REAL,0
2021,2,E002,BMS College of Engineering,Electrical & Electronics,1G,7458,SAMPLE_DATA_NOT_REAL,1
2021,Final,E002,BMS College of Engineering,Electrical & Electronics,1G,8572,SAMPLE_DATA_NOT_REAL,99
2022,1,E002,BMS College of Engineering,Electrical & Electronics,1G,5961,SAMPLE_DATA_NOT_REAL,0
2022,2,E002,BMS College of Engineering,Electrical & Electronics,1G,7133,SAMPLE_DATA_NOT_REAL,1
